id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
2341,41af43bb3f9077ea,1423098467626,0.3098297,-0.043884277,9.891083,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2342,41af43bb3f9077ea,1423098468144,0.28959656,-0.073638916,9.906555,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2343,41af43bb3f9077ea,1423098468657,0.27531433,-0.04864502,9.923218,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2344,41af43bb3f9077ea,1423098469174,0.2866211,-0.07244873,9.918457,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2345,41af43bb3f9077ea,1423098469686,0.286026,-0.034957886,9.904175,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2346,41af43bb3f9077ea,1423098470201,0.286026,-0.049240112,9.977371,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2347,41af43bb3f9077ea,1423098470715,0.28840637,-0.08137512,9.90358,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2348,41af43bb3f9077ea,1423098471229,0.3014984,-0.067092896,9.911316,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2349,41af43bb3f9077ea,1423098471745,0.2776947,-0.03555298,9.872635,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2350,41af43bb3f9077ea,1423098472258,0.2949524,-0.049240112,9.891083,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2351,41af43bb3f9077ea,1423098472777,0.27531433,-0.05340576,9.915482,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2352,41af43bb3f9077ea,1423098473288,0.30863953,-0.029006958,9.916077,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2353,41af43bb3f9077ea,1423098473803,0.30625916,-0.043289185,9.90596,,2015-02-24 04:01:57 UTC,2015-02-24 04:01:57 UTC,
2354,41af43bb3f9077ea,1423098474317,0.29733276,-0.043884277,9.879776,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2355,41af43bb3f9077ea,1423098474831,0.2937622,-0.071258545,9.879181,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2356,41af43bb3f9077ea,1423098475347,0.29852295,-0.045074463,9.891083,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2357,41af43bb3f9077ea,1423098475862,0.29257202,-0.052215576,9.955948,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2358,41af43bb3f9077ea,1423098476376,0.3032837,-0.0748291,9.885132,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2359,41af43bb3f9077ea,1423098476889,0.30923462,-0.05757141,9.885132,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2360,41af43bb3f9077ea,1423098477404,0.28305054,-0.058761597,9.881561,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2361,41af43bb3f9077ea,1423098477918,0.29138184,-0.06590271,9.907745,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2362,41af43bb3f9077ea,1423098478436,0.3187561,-0.041503906,9.894058,,2015-02-24 04:01:58 UTC,2015-02-24 04:01:58 UTC,
2363,41af43bb3f9077ea,1423098478947,0.2770996,-0.08375549,9.948807,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2364,41af43bb3f9077ea,1423098479463,0.29078674,-0.049835205,9.87442,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2365,41af43bb3f9077ea,1423098479975,0.28781128,-0.05935669,9.906555,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2366,41af43bb3f9077ea,1423098480492,0.2949524,-0.03555298,9.909531,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2367,41af43bb3f9077ea,1423098481006,0.2866211,-0.052215576,9.90358,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2368,41af43bb3f9077ea,1423098481520,0.27531433,-0.06352234,9.867279,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2369,41af43bb3f9077ea,1423098482035,0.2854309,-0.06352234,9.899414,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2370,41af43bb3f9077ea,1423098482550,0.2931671,-0.03138733,9.897629,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2371,41af43bb3f9077ea,1423098483064,0.28424072,-0.05697632,9.858948,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2372,41af43bb3f9077ea,1423098483580,0.27650452,-0.05935669,9.912506,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2373,41af43bb3f9077ea,1423098484093,0.30030823,-0.052215576,9.894653,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2374,41af43bb3f9077ea,1423098484610,0.286026,-0.055786133,9.882751,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2375,41af43bb3f9077ea,1423098485123,0.29971313,-0.042099,9.885727,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2376,41af43bb3f9077ea,1423098485635,0.3026886,-0.051620483,9.90477,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2377,41af43bb3f9077ea,1423098486152,0.30090332,-0.05102539,9.894058,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
2378,41af43bb3f9077ea,1423098486666,0.27947998,-0.058166504,9.923218,,2015-02-24 04:01:59 UTC,2015-02-24 04:01:59 UTC,
